stories_id,publish_date,title,url,language,ap_syndicated,themes,subtopics,inlink_count,facebook_share_count,outlink_count,media_inlink_count,media_id,media_name,media_url
655777927,##########,Trump Jr.: &#8216;In Retrospect&#8230;I Would Have Done Things A Little Differently&#8217;,http://dailycaller.com/2017/07/11/trump-jr-in-retrospect-i-would-have-done-things-a-little-differently/,en,FALSE,"politics and government, united states politics and government",,0,14,1,0,18775,Daily Caller,http://dailycaller.com
656140258,##########,Trump Jr. Emails Prove Russia Collusion Story Is Even Dumber Than You Thought,http://dailycaller.com/2017/07/12/trump-jr-emails-prove-russia-collusion-story-is-even-dumber-than-you-thought/,en,FALSE,"politics and government, news and news media, media",,0,1561,2,0,18775,Daily Caller,http://dailycaller.com
667100945,##########,Kushner&#8217;s Team Wanted To Leak Donald Trump Jr. Emails That Were Eventually Leaked,http://dailycaller.com/2017/07/31/kushners-team-wanted-to-leak-donald-trump-jr-emails-that-were-eventually-leaked/,en,FALSE,"politics and government, united states politics and government, armament, defense and military forces, news and news media, united states international relations",,0,309,0,0,18775,Daily Caller,http://dailycaller.com
658483486,##########,ID Of The 8th Trump Tower Meeting Attendee Remains A Mystery,http://dailycaller.com/2017/07/17/id-of-the-8th-trump-tower-meeting-attendee-remains-a-mystery/,en,FALSE,"politics and government, united states politics and government, armament, defense and military forces, terrorism",,0,1730,0,0,18775,Daily Caller,http://dailycaller.com
655701768,##########,Senators On Both Sides Raise Concern Over Donald Trump Jr.&#8217;s Emails,http://dailycaller.com/2017/07/11/senators-on-both-sides-raise-concern-over-donald-trump-jr-s-emails/,en,FALSE,"politics and government, united states politics and government, elections, united states international relations, international relations",,0,4,0,0,18775,Daily Caller,http://dailycaller.com
658889897,##########,Here&#8217;s What People Really Think About Donald Trump Jr. Coverage,http://dailycaller.com/2017/07/17/heres-what-people-really-think-about-donald-trump-jr-coverage/,en,FALSE,"politics and government, united states politics and government, elections, presidents and presidency (us), presidential elections (us), news and news media, women, media",,0,51,0,0,18775,Daily Caller,http://dailycaller.com
678477038,##########,Fusion GPS Founder Refuses To Identify Dossier Clients In Marathon Senate Session,http://dailycaller.com/2017/08/22/fusion-gps-founder-refuses-to-identify-dossier-clients-in-marathon-senate-session/,en,FALSE,"politics and government, united states politics and government, ethics",,0,515,0,0,18775,Daily Caller,http://dailycaller.com
664873887,##########,White House Calls Out Press For Ignoring Testimony About Trump Dossier Firm [VIDEO],http://dailycaller.com/2017/07/27/white-house-calls-out-press-for-ignoring-testimony-about-trump-dossier-firm-video/,en,FALSE,"politics and government, united states politics and government, lobbying and lobbyists, armament, defense and military forces, ethics, united states international relations, international relations, international trade and world market",,0,1411,0,0,18775,Daily Caller,http://dailycaller.com
713247704,##########,Russian Lawyer Denies Promise Of Damaging Info Ever Happened [VIDEO],http://dailycaller.com/2017/07/11/russian-lawyer-denies-promise-of-damaging-info-ever-happened-video/,en,FALSE,"politics and government, finances, united states politics and government, elections, presidents and presidency (us), presidential elections (us)",,0,8,2,0,18775,Daily Caller,http://dailycaller.com
664959076,##########,House Dems Call For Kushner To Be Immediately Dismissed,http://dailycaller.com/2017/07/27/house-dems-call-for-kushner-to-be-immediately-dismissed/,en,FALSE,"politics and government, united states politics and government, armament, defense and military forces",,0,625,2,0,18775,Daily Caller,http://dailycaller.com
