stories_id,publish_date,title,url,language,ap_syndicated,inlink_count,facebook_share_count,outlink_count,media_inlink_count,media_id,media_name,media_url
655792028,7/11/17 20:10,The key players in the escalating Trump Jr. email scandal,http://nypost.com/2017/07/11/the-key-players-in-the-escalating-trump-jr-email-scandal/,en,,0,102,0,0,7,NY Post,
655788840,7/11/17 19:39,Trump Jr. denies dad knew about Russia meeting,http://nypost.com/2017/07/11/trump-jr-denies-dad-knew-about-russia-meeting/,en,,0,1177,0,0,7,NY Post,
655479856,7/11/17 8:25,Russian lawyer contradicts Trump Jr.&#8217;s account of meeting,http://nypost.com/2017/07/11/russian-lawyer-contradicts-trump-jr-s-account-of-meeting/,en,,0,1034,0,0,7,NY Post,
798508994,7/13/17 15:30,Russian lawyer was let into US without a visa by Obama administration,https://nypost.com/2017/07/13/russian-lawyer-was-let-into-us-without-a-visa-by-obama-administration/amp/,en,,0,0,0,0,7,NY Post,
655045791,7/10/17 11:26,Trump Jr. tries to explain away shady Russia meeting,http://nypost.com/2017/07/10/trump-jr-tries-to-explain-away-shady-russia-meeting/,en,,0,171,0,0,7,NY Post,
657369122,7/14/17 9:50,Former Soviet spy attended Don Jr&#8217;s meeting with Russian lawyer,http://nypost.com/2017/07/14/former-soviet-spy-attended-don-jrs-meeting-with-russian-lawyer/,en,,0,1085,0,0,7,NY Post,
654387289,7/8/17 17:47,Trump team met with Kremlin-connected lawyer during campaign: report,http://nypost.com/2017/07/08/trump-team-met-with-kremlin-connected-lawyer-during-campaign-report/,en,,0,1949,0,0,7,NY Post,
656308100,7/12/17 15:55,Trump: Putin would be happier if Clinton were president,http://nypost.com/2017/07/12/trump-putin-would-be-happier-if-clinton-were-president/,en,,0,778,0,0,7,NY Post,
656260784,7/12/17 14:12,Lawyer shopped story about Hillary&#8217;s ties to hedgie who got kicked out of Russia,http://nypost.com/2017/07/12/lawyer-shopped-story-about-hillarys-ties-to-hedgie-who-got-kicked-out-of-russia/,en,,0,6,1,0,7,NY Post,
655685128,7/11/17 14:52,Donald Trump Jr. Will Be Interviewed On &#8216;Hannity&#8217; Tonight About Russia Scandal,http://decider.com/2017/07/11/donald-trump-jr-hannity-interview/,en,,0,2,0,0,7,NY Post,
1336363317,47:28.4,"The Latest: Trumps, Macrons dine high above Paris | Fox News",https://www.foxnews.com/world/the-latest-trumps-macrons-dine-high-above-paris,en,,3,0,0,3,1092,FOX News,
747402171,7/13/17 13:27,Donald Trump: Most People Would Have Taken Don Jr.-Russian Lawyer Meeting,http://insider.foxnews.com/2017/07/13/donald-trump-most-people-would-have-taken-don-jr-russian-lawyer-meeting,en,,2,355,0,2,1092,FOX News,
654424657,7/8/17 19:51,Donald Trump Jr. and Jared Kushner respond to meeting with Russian lawyer,http://feeds.foxnews.com/~r/foxnews/politics/~3/wfCdPvzxHOo/donald-trump-jr-and-jared-kushner-respond-to-meeting-with-russian-lawyer.html,en,,2,5938,0,2,1092,FOX News,
657460135,7/14/17 11:08,"Russian lobbyist, unnamed translator attended Trump Tower meeting with Russian lawyer",http://feeds.foxnews.com/~r/foxnews/politics/~3/QR9-G-XUSFM/russian-lobbyist-unnamed-translator-attended-trump-tower-meeting-with-russian-lawyer.html,en,,2,1003,0,2,1092,FOX News,
801135032,7/14/17 13:08,Russia Collusion Saga: 2 More Figures Emerge as Participants at Secret Trump Tower Meeting,http://nation.foxnews.com/2017/07/14/russia-collusion-saga-2-more-figures-emerge-participants-secret-trump-tower-meeting,,,0,37,0,0,1092,FOX News,
657158610,7/14/17 3:22,Gilt and guns: Macron wants to be Europe's go-to for Trump,http://feeds.foxnews.com/~r/foxnews/world/~3/Byb43fg6Pag/gilt-and-guns-macron-wants-to-be-europes-go-to-for-trump.html,en,,0,6,0,0,1092,FOX News,
655553055,7/11/17 9:36,NO KREMLIN CRONY: Russian lawyer who met Trump Jr. denies ties to Putin,http://www.foxnews.com/politics/2017/07/11/russian-lawyer-who-met-with-donald-trump-jr-denies-kremlin-connection.html,en,,0,962,0,0,1092,FOX News,
655631737,7/11/17 12:30,EMAIL TRAIL: Trump son releases exchange with contact claiming Russia gov&rsquo;t sought to back dad,http://www.foxnews.com/politics/2017/07/11/donald-trump-jr-releases-alleged-email-chain-regarding-russian-meeting.html,en,,0,39403,0,0,1092,FOX News,
704401391,10/11/17 2:15,"Trump Tower meeting wasn't about Clinton 'dirt,' emails show",http://www.foxnews.com/politics/2017/10/11/trump-tower-meeting-wasnt-about-clinton-dirt-emails-show.html,en,,0,9692,0,0,1092,FOX News,
801070354,7/13/17 19:32,The Hill: Trump Jr. Pitch Was Part of Broad Russian Effort,http://nation.foxnews.com/2017/07/13/hill-trump-jr-pitch-was-part-broad-russian-effort,,,0,53,1,0,1092,FOX News,
1038248622,7/11/17 0:00,Donald Trump Jr. releases 'entire email chain' regarding Russian meeting | Fox News,https://www.foxnews.com/politics/donald-trump-jr-releases-entire-email-chain-regarding-russian-meeting,en,,0,0,0,0,1092,FOX News,
657600316,7/9/17 8:00,Reince Priebus breaks down Trump's trip to the G-20 summit,http://www.foxnews.com/transcript/2017/07/09/reince-priebus-breaks-down-trumps-trip-to-g-20-summit.html,en,,0,10,0,0,1092,FOX News,
697190445,7/10/17 8:00,"Will feud between media, Trump ever die down?; Cruz wants no recess until health care passed",http://www.foxnews.com/transcript/2017/07/10/will-feud-between-media-trump-ever-die-down-cruz-wants-no-recess-until-health-care-passed.html,en,,0,0,0,0,1092,FOX News,
801153521,7/13/17 13:27,Michelle Malkin Putin Benefit More Clinton Presidency,http://insider.foxnews.com/2017/07/13/michelle-malkin-putin-benefit-more-clinton-presidency,en,,0,1123,0,0,1092,FOX News,
697321651,7/14/17 8:00,Gingrich slams idea Trump Jr. meeting was Russian 'set up',http://www.foxnews.com/transcript/2017/07/14/gingrich-slams-idea-trump-jr-meeting-was-russian-set-up.html,en,,0,16,0,0,1092,FOX News,
659030205,7/13/17 8:00,Ingraham: Questions need to be answered about Russian lawyer; Dobbs: Left carrying out coup d'etat against Trump,http://www.foxnews.com/transcript/2017/07/13/ingraham-questions-need-to-be-answered-about-russian-lawyer-dobbs-left-carrying-out-coup-detat-against-trump.html,en,,0,3,0,0,1092,FOX News,
801153725,7/12/17 5:11,Goodwin: Why the Latest Russia Story Is Just Another Trump Witch Hunt,http://nation.foxnews.com/2017/07/12/goodwin-why-latest-russia-story-just-another-trump-witch-hunt,,,0,243,1,0,1092,FOX News,
800941105,7/13/17 0:00,Obama administration let Russian lawyer who met Trump Jr. into US after visa block,http://www.foxnews.com/politics/2017/07/13/obama-administration-let-russian-lawyer-who-met-trump-jr-into-us-after-visa-block.html?utm_content=buffer462a1&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,en,,0,0,0,0,1092,FOX News,
656526486,7/13/17 0:01,Lawmakers want ex-Trump campaign chair Manafort to testify on Russia meeting,http://feeds.foxnews.com/~r/foxnews/politics/~3/v5LhRQY5rIc/lawmakers-want-ex-trump-campaign-chair-manafort-to-testify-on-russia-meeting.html,en,,0,37,0,0,1092,FOX News,
801029308,7/12/17 5:05,"Keystone Kops Collusion: Did Don Jr., a Russian Pop Star and a Lawyer Steal the 2016 Election?",http://nation.foxnews.com/2017/07/12/keystone-kops-collusion-did-don-jr-russian-pop-star-and-lawyer-steal-2016-election,,,0,126,1,0,1092,FOX News,
657561685,7/14/17 15:41,"Oh really, Bubba?",http://feeds.foxnews.com/~r/foxnews/politics/~3/MjLab6L9NJE/oh-really-bubba.html,en,,0,34,2,0,1092,FOX News,
656683531,7/13/17 7:52,Trump seeks consensus with France despite differences,http://feeds.foxnews.com/~r/foxnews/politics/~3/6G3WA8Yiesw/trump-seeks-consensus-with-france-despite-differences.html,en,,0,69,0,0,1092,FOX News,
655129939,7/10/17 14:09,Congress returns facing major time crunch,http://feeds.foxnews.com/~r/foxnews/politics/~3/ruPPcHfmt_4/congress-returns-facing-major-time-crunch.html,en,,0,19,2,0,1092,FOX News,
658644234,7/11/17 8:00,"Donald Trump Jr. on 'Hannity': In retrospect, I would've done things differently",http://www.foxnews.com/transcript/2017/07/11/donald-trump-jr-on-hannity-in-retrospect-wouldve-done-things-differently.html,en,,0,43,0,0,1092,FOX News,
801015154,7/14/17 15:13,AP: Russian-American Lobbyist Says He Was in Trump Son's Meeting with Lawyer,http://nation.foxnews.com/2017/07/14/ap-russian-american-lobbyist-says-he-was-trump-sons-meeting-lawyer,,,0,221,0,0,1092,FOX News,
801953375,7/13/17 0:00,Flashback: That Time Clinton Surrendered American Uranium Mines To Russia,http://nation.foxnews.com/2017/07/13/flashback-time-clinton-surrendered-american-uranium-mines-russia,en,,0,636,0,0,1092,FOX News,
801030651,7/13/17 17:48,"Broadcasters Obsess Over Trump Jr., Ignore 'Hillary Clinton's Russia-Uranium Scandal' Study Says",http://nation.foxnews.com/2017/07/13/broadcasters-obsess-over-trump-jr-ignore-hillary-clintons-russia-uranium-scandal-study,,,0,25,0,0,1092,FOX News,
657559936,7/14/17 15:41,Russian-American at Trump Jr. meeting is ex-military officer,http://feeds.foxnews.com/~r/foxnews/national/~3/Z-xSsHYfoPQ/russian-american-at-trump-jr-meeting-is-ex-military-officer.html,en,,0,0,0,0,1092,FOX News,
1116171669,7/12/17 0:00,"Russian lawyer who met Trump Jr.: 'I would have' contacted Clinton, too, if she could help | Fox News",https://www.foxnews.com/politics/russian-lawyer-who-met-trump-jr-i-would-have-contacted-clinton-too-if-she-could-help,en,,0,0,0,0,1092,FOX News,
680100990,8/25/17 13:09,"Russian attorney rips anti-Trump dossier as ‘cheap gossip,’ amid questions over origin",http://feeds.foxnews.com/~r/foxnews/politics/~3/ie9l0KLFWmU/russian-attorney-rips-anti-trump-dossier-as-cheap-gossip-amid-questions-over-origin.html,en,,0,0,0,0,1092,FOX News,
